OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE,x,y
31509,00404,Lilesville Fire Department,1,202 W Wall St,Lilesville,NC,Anson,28091,34.96818792,-79.98650536,-79.98650536,34.96818792
31510,04311,Lillington Fire Department,1,823 South Main,Lillington,NC,Harnett,27546,35.39767641,-78.81619615,-78.8161961499999,35.39767641
31511,04311,Lillington Fire Department,2,3130 US 401 South,Lillington,NC,Harnett,27546,35.35766625,-78.79992146,-78.79992146,35.3576662500001
31512,05506,Lincolnton Fire Department,1,116 W. Scyamore St.,Lincolnton,NC,Lincoln,28092,35.471984,-81.258155,-81.258155,35.4719840000001
31513,05506,Lincolnton Fire Department,2,410 McAlister Rd.,Lincolnton,NC,Lincoln,28092,35.48756403,-81.20157662,-81.20157662,35.48756403
31514,00606,"Linville Volunteer Fire Department, Inc.",1,590 NC 105 Highway,Linville,NC,Avery,28646,36.07960565,-81.86999656,-81.8699965599999,36.0796056500001
31515,00606,"Linville Volunteer Fire Department, Inc.",2,100 Firehouse Lane,Linville,NC,Avery,28646,36.1245,-81.8452,-81.8452,36.1245000000001
31516,02909,"Linwood Rural Fire Department, Inc.",1,4297 Old Linwood Road,Lexington,NC,Davidson,27292,35.76069022,-80.3130498,-80.3130498,35.7606902200001
31517,09722,"Little Brushy Mountain Volunteer Fire Department, Inc.",1,2770 Mount Sinai Rd.,Wilkesboro,NC,Wilkes,28697,36.1253,-81.0285,-81.0285,36.1253
31518,08811,"Little River Fire Department of Transylvania County, Inc.",1,1240 Crab Creek Road,Penrose,NC,Transylvania,28766,35.2572,-82.6349,-82.6349,35.2572000000001
31519,08811,"Little River Fire Department of Transylvania County, Inc.",2,32 Acorn Ridge,Penrose,NC,Transylvania,28766,35.27178482,-82.66954752,-82.66954752,35.2717848200001
31520,01408,"Little River Fire Department, Inc.",1,4800 Oak Hill School Road,Lenoir,NC,Caldwell,28645,35.907,-81.403,-81.403,35.907
31521,09615,"Little River Volunteer Fire Department, Inc.",1,622 Gurley Dairy Rd,Pikeville,NC,Wayne,27863,35.4689,-78.0709,-78.0708999999999,35.4689000000001
31522,02511,Little Swift Creek Volunteer Fire Department,1,4580 US Hwy 17 North,Ernul,NC,Craven,28527,35.22769483,-77.07002105,-77.07002105,35.2276948300001
31523,02511,Little Swift Creek Volunteer Fire Department,2,761 Antioch Rd,New Bern,NC,Craven,28560,35.16784471,-77.05002105,-77.0500210499999,35.1678447100001
